frame_index,var_of_laplacian
1481,140.266
1482,133.108
1483,101.074
1484,88.394
1485,74.331
1486,70.246
1487,81.831
1488,154.198
1489,58.058
1490,66.648
1491,68.396
1492,81.565
1493,91.847
1494,98.258
1495,106.458
1496,115.998
1497,152.061
1498,169.087
1499,175.768
1500,178.501
1501,177.896
1502,200.581
1503,189.073
1504,192.979
1505,202.936
1506,188.705
1507,198.736
1508,161.712
1509,198.965
1510,193.973
1511,203.796
1512,210.431
1513,200.427
1514,204.220
1515,223.190
1516,200.725
1517,197.593
1518,187.650
1519,200.563
1520,162.966
1521,167.864
1522,190.761
1523,168.653
1524,157.069
1525,155.595
1526,186.416
1527,131.476
1528,99.732
1529,120.354
1530,109.705
1531,106.465
1532,105.877
1533,97.502
1534,76.557
1535,73.875
1536,57.374
1537,49.608
1538,40.940
1539,35.550
1540,30.648
1541,21.407
1542,27.108
1543,29.309
1544,19.023
1545,24.553
1546,24.803
1547,26.474
1548,27.191
1549,21.955
1550,22.580
1551,22.162
1552,18.901
1553,17.556
1554,15.674
1555,19.888
1556,21.066
1557,18.042
1558,19.991
1559,16.085
1560,17.494
1561,14.240
1562,15.791
1563,15.731
1564,15.826
1565,14.229
1566,12.935
1567,13.735
1568,15.321
1569,16.009
1570,20.409
1571,20.474
1572,21.327
1573,20.012
1574,19.879
1575,24.288
1576,21.448
1577,21.081
1578,21.568
1579,21.540
1580,19.453
1581,17.974
1582,18.902
1583,26.272
1584,28.358
1585,44.652
1586,60.823
1587,61.068
1588,47.834
1589,32.757
1590,13.616
1591,10.635
1592,10.490
1593,8.602
1594,6.421
1595,6.664
1596,7.993
1597,9.111
1598,7.842
1599,7.371
1600,8.917
1601,15.516
1602,12.935
1603,13.722
1604,10.496
1605,10.073
1606,7.521
1607,8.242
1608,7.901
1609,9.471
1610,9.291
1611,11.125
1612,14.436
1613,17.238
1614,21.992
1615,26.128
1616,32.057
1617,43.575
1618,55.772
1619,62.247
1620,66.459
1621,70.258
1622,74.735
1623,82.251
1624,106.130
1625,119.437
1626,100.832
1627,106.007
1628,113.823
1629,124.261
1630,129.345
1631,99.477
1632,60.384
1633,36.663
1634,65.488
1635,72.063
1636,67.916
1637,39.006
1638,90.709
1639,77.650
1640,72.448
1641,90.623
1642,81.162
1643,80.829
1644,101.325
1645,91.853
1646,86.378
1647,90.287
1648,83.721
1649,69.562
1650,62.298
1651,49.634
1652,45.543
1653,49.141
1654,53.041
1655,80.934
1656,88.764
1657,105.568
1658,93.593
1659,83.280
1660,80.561
1661,72.580
1662,53.214
1663,53.990
1664,62.471
1665,53.181
1666,49.277
1667,43.436
1668,35.248
1669,24.230
1670,24.820
1671,28.051
1672,25.244
1673,26.096
1674,26.856
1675,29.217
1676,30.852
1677,35.334
1678,33.122
1679,38.290
1680,41.521
1681,43.913
1682,46.460
1683,49.849
1684,52.396
1685,53.484
1686,61.712
1687,52.781
1688,59.913
1689,50.891
1690,52.614
1691,48.520
1692,45.971
1693,42.741
1694,42.705
1695,48.947
1696,49.707
1697,49.850
1698,53.260
1699,52.929
1700,53.873
1701,59.157
1702,64.202
1703,67.066
1704,69.279
1705,70.418
1706,73.431
1707,60.885
1708,76.211
1709,79.912
1710,79.100
1711,168.742
1712,109.198
1713,121.981
1714,114.974
1715,83.021
1716,80.688
1717,74.709
1718,76.274
1719,85.500
1720,112.763
1721,79.078
1722,79.973
1723,88.710
1724,114.676
1725,131.040
1726,111.157
1727,129.420
1728,105.303
1729,92.819
1730,76.258
1731,88.129
1732,86.578
1733,76.497
1734,105.923
1735,110.189
1736,89.790
1737,109.988
1738,80.558
1739,94.649
1740,85.050
1741,72.247
1742,75.321
1743,83.595
1744,75.772
1745,86.051
1746,82.878
1747,69.236
1748,66.240
1749,62.577
1750,63.085
1751,72.646
1752,86.622
1753,83.289
1754,85.223
1755,89.408
1756,104.265
1757,108.078
1758,119.800
1759,134.295
1760,137.626
1761,146.985
1762,154.704
1763,150.009
1764,160.517
1765,156.416
1766,165.336
1767,181.942
1768,182.019
1769,184.129
1770,194.707
1771,235.228
1772,254.130
1773,272.195
1774,234.243
1775,220.638
1776,148.963
1777,140.345
1778,139.900
1779,130.698
1780,128.632
1781,123.115
1782,115.356
1783,120.439
1784,123.998
1785,133.463
1786,135.812
1787,135.554
1788,143.018
1789,79.650
1790,75.638
1791,96.022
1792,142.912
1793,183.422
1794,145.080
1795,190.316
1796,199.183
1797,197.645
1798,105.309
1799,191.009
1800,72.066
1801,60.628
1802,113.951
1803,68.288
1804,51.410
1805,64.886
1806,54.725
1807,53.031
1808,63.663
1809,57.690
1810,47.060
1811,78.115
1812,54.312
1813,37.380
1814,47.949
1815,56.059
1816,59.445
1817,77.560
1818,98.718
1819,165.565
1820,94.878
1821,108.612
1822,120.724
1823,89.877
1824,113.103
1825,146.406
1826,209.181
1827,208.119
1828,214.146
1829,192.463
1830,185.142
1831,165.431
1832,156.502
1833,142.351
1834,130.654
1835,124.088
1836,110.309
1837,95.212
1838,87.702
1839,87.414
1840,81.852
1841,68.584
1842,63.078
1843,64.022
1844,55.482
1845,49.981
1846,54.536
1847,51.061
1848,59.389
1849,53.171
1850,56.932
1851,64.491
1852,60.953
1853,69.519
1854,73.531
1855,75.555
1856,81.653
1857,82.459
1858,87.743
1859,102.136
1860,91.768
1861,95.290
1862,108.533
1863,106.560
1864,122.574
1865,147.153
1866,129.770
1867,157.341
1868,155.692
1869,107.109
1870,107.597
1871,131.058
1872,130.690
1873,132.762
1874,79.227
1875,78.422
1876,87.763
1877,110.173
1878,85.210
1879,57.116
1880,51.935
1881,50.438
1882,45.807
1883,77.973
1884,82.928
1885,93.803
1886,86.736
1887,87.126
1888,56.769
1889,61.657
1890,95.869
1891,85.329
1892,61.044
1893,87.185
1894,100.527
1895,103.124
1896,115.085
1897,143.579
1898,170.431
1899,229.087
1900,267.505
1901,306.602
1902,365.931
1903,438.500
1904,482.234
1905,521.430
1906,533.239
1907,574.283
1908,599.978
1909,629.389
1910,584.269
1911,202.620
1912,285.534
1913,252.079
1914,227.573
1915,265.481
1916,272.441
1917,392.896
1918,589.100
1919,751.825
1920,929.647
1921,648.067
1922,942.948
1923,266.803
